id,answer,GPT-3.5,LLama3-base,Mistral-7B-instruct-v2,Mistral-7B-instruct-v2-lora,LLama3-lora-v1,Mistral-7B-instruct-lora-v1
1,C,C,C,C,C,C,
2,B,B,B,B,B,B,
3,C,C,C,C,,C,
4,B,B,A,B,,A,
5,B,B,B,N,,A,
6,D,D,D,D,,D,
7,B,B,A,A,,A,
8,B,B,B,B,,B,
9,B,B,A,A,,A,
10,C,C,B,C,,B,
11,A,D,A,A,,A,
12,C,C,B,C,,C,
13,D,C,B,D,,D,
14,A,A,A,A,,A,
15,B,B,B,B,,B,
16,C,C,C,C,,C,
17,B,B,B,B,,B,
18,C,C,C,A,,C,
19,C,C,A,A,,C,
20,C,C,A,C,,C,
21,A,B,A,A,,A,
22,A,A,A,A,,A,
23,B,A,A,A,,B,
24,B,B,D,C,,D,
25,D,D,D,D,,D,
26,A,A,A,A,,A,
27,A,A,A,B,,A,
28,A,A,A,A,,A,
29,D,D,D,D,,D,
30,C,B,B,B,,B,
31,B,B,B,B,,B,
32,B,D,B,D,,D,
33,C,C,B,D,,D,
34,C,C,D,D,,D,
35,A,A,B,A,,B,
36,B,B,B,B,,B,
37,C,C,C,A,,C,
38,C,C,C,C,,C,
39,B,A,A,A,,A,
40,A,A,A,D,,A,
41,D,D,D,D,,D,
42,C,C,A,D,,C,
43,C,C,C,C,,C,
44,B,B,A,A,,A,
45,B,C,A,B,,A,
46,B,B,B,D,,D,
47,D,D,D,D,,D,
48,C,D,D,D,,D,
49,B,B,B,B,,B,
50,A,D,D,A,,D,
51,B,C,A,A,,A,
52,C,C,C,C,,C,
53,B,C,A,A,,A,
54,C,B,C,C,,C,
55,C,A,A,,,A,
56,B,B,B,B,,B,
57,B,B,B,B,,B,
58,D,D,D,D,,D,
59,D,D,D,D,,D,
60,A,A,A,A,,A,
61,B,B,B,B,,B,
62,B,B,B,B,,B,
63,B,B,D,B,,D,
64,A,A,A,A,,A,
65,C,B,A,A,,C,
66,C,C,C,C,,C,
67,B,B,B,B,,B,
68,A,A,A,A,,A,
69,C,C,A,C,,C,
70,B,B,C,A,,C,
71,A,A,A,A,,A,
72,B,B,B,B,,B,
73,B,B,B,A,,B,
74,B,B,B,B,,B,
75,A,A,A,A,,A,
76,C,C,C,C,,C,
77,A,A,A,A,,A,
78,C,C,B,C,,C,
79,C,C,C,D,,C,
80,C,C,C,C,,C,
81,C,C,C,C,,C,
82,A,C,A,A,,A,
83,A,C,A,A,,A,
84,C,C,A,C,,C,
85,D,D,D,D,,D,
86,B,B,B,B,,B,
87,C,C,C,C,,C,
88,D,D,D,D,,D,
89,C,C,A,C,,C,
90,D,D,D,D,,D,
91,C,C,B,B,,C,
92,A,C,C,A,,C,
93,C,C,C,C,,C,
94,B,B,B,B,,C,
95,B,B,B,B,,B,
96,B,C,B,C,,B,
97,B,A,A,A,,A,
98,C,C,C,B,,C,
99,C,C,C,C,,C,
100,C,C,C,C,,C,
101,C,C,C,D,,C,
102,B,B,B,B,,B,
103,B,B,B,B,,B,
104,D,D,D,D,,D,
105,B,D,B,B,,B,
106,C,C,A,B,,D,
107,D,D,B,D,,B,
108,A,D,A,A,,A,
109,C,C,C,C,,C,
110,B,B,B,B,,B,
111,C,C,C,C,,C,
